Trial Alias,Material Number,Material Description,Material type,MRP Controller,MRP Group,MRP Type,Mixed MRP indicator,Material Group,Purchasing Group,Procurement Type,Profit Center,Processing time,Purchase Request Unit,Production Scheduling Profile,Product hierarchy,Material Authorization Group for Activities in QM,Maintenance status,Maintenance status of complete material,Minimum Target Range of Coverage,Issue Storage Location,Net contents,Net weight,Interval Until Next Recurring Inspection,Minimum Lot Size,Minimum Remaining Shelf Life,Minimum Safety Stock,Minimum Shelf Life Required: Location-Dependent,Maximum Stock Level,Maximum Storage Period,Maximum Shelf Life Required: Location-Dependent,Maximum Lot Size,Maximum Allowed Capacity of Packaging Material,Method for Selecting Alternative Bills of Material,Maximum Target Range of Coverage,Maturation Time,Mean inspection duration_deactivated,Load Capacity,Loading Group,Location-Dependent Shelf Life,Lot Sizing Procedure within Materials Planning,Volume,Width,Weight Unit,Version Indicator,Variance Key,Valuated Goods Receipt Blocked Stock.1,Validity date of vendor declaration,Universal Product,Transportation Group,Total shelf life,Total replenishment lead time in workdays,Tied Empties Stock,Throughput Time,Third-Party Order Processing,Temperature conditions indicator,Target Stock,Target Days' Supply in Workdays,Takt time,Synchronization Time Stamp,Synchronization Active,Surcharge factor for cost in percent,Storage percentage,Storage conditions,Storage Condition Flag,Stock Transfer Net Change Costing,Stock in Transit,Stock in transfer_plant to plant,Special procurement type,Shipping setup time,Shipping processing time,Service level,Serialization Valid From,Serialization Type,Sample for quality inspection_in%__deactivated,Safety time_in workdays,Safety stock,Rounding value for purchase order quantity,Retain Fixed Pegging for Product on Document Change,Resource Network,QM in Procurement Is Active,Quantity: Number of GR/GI slips to be printed,Requirement Strategy,Reorder Days' Supply_in Workdays,Reorder Point,Repair Safety Stock,Replenishment Lead Time in Calendar Days,Count of Reportable Item Code - Numerical ID,Required Maximum Shelf Life,PPC Planning Calendar,PPC Heuristics,Plant-Specific Material Status,PP Planning Procedure,ABC Indicator,Additional Instructions,Sum of Alert threshold for early receipts,Sum of Allowed packaging volume,Sum of Allowed packaging weight,ANP Code,Sum of Base quantity,Base Unit of Measure,Batch management Indicator_Internal,Batch Management Requirement Indicator for Plant,Checking Group for Availability Check,Commodity Code,Consumption mode,Sum of Consumption of Storage Capacity per Unit of Material,Consumption period: forward,Control Key for Quality Management in Procurement,Country of Origin of Material_Non-Preferential Origin,Created On,Current period _posting period,Date from which the plant-specific material status is valid,Date of Last Change,Default storage location for external procurement,Determination of batch entry in the production/process order,Division,Documentation required indicator,Sum of Duration of Work,Effective-Out Date,Exemption certificate: Issue date of exemption certificate,Expiration Date,External Representation of Material Number,Sum of Fixed lot size,Flag Material for Deletion at Plant Level,General item category group,Sum of Goods Issue Processing Time in Days,Sum of Goods receipt processing time in days,Sum of Gross contents,Sum of Gross weight
CT-3228-ZKT,MAT-30703,Cold Injection,Investigational Product,MRP-124,G3 Pilot,VB,No,MG132,PG85,In-House,PC1951,7,Section,Reality,91.66.23,Person,Pending,Completed,If,Build,Tough,20.13,Say,LOT-81143076,Travel,Bag,Middle,Country,Information,Social,LOT-19895402,18.54,Brother,Happy,2024-01-26,13,8.33,Off,Nature,LOT-23670572,2.02,327377623,2.82,Majority,Plant,Difference,V6090109,Drop,Low,Detail,19,Country,2025-05-01,Environmental,Apply,Defense,9,2026-01-02,2025-02-09,Family,3880.58,44.84,One,Yes,399.84,Space,EU02,Month,2026-02-05,2024-06-19,Site,620962629,Also,Action,21,Prepare,470,General,Kid,Local,233,Forward,30,Authority,Natural,22,74,President,Amount,Everyone,Pending,News,Perform,Million,Prepare,19.11,5.0,wE-3645,314,EA,Positive,US01,Site,ZM-6812,Any,36.25,Story,Three,United States of America,2024-08-07,Quickly,Closed,2025-10-22,Age,22D3A96C-CE5,Who,Wrong,15,2024-08-27,2026-10-17,2026-08-07,MAT-82814,LOT-90900846,LAT04,Again,16,16,Eye,15.14
CT-3228-ZKT,MAT-61362,Better Tablet,Ancillary Supply,MRP-134,G2 Commercial,VB,No,MG321,PG85,Consignment,PC9999,3,Movement,Find,35.28.27,Box,Closed,Completed,Ahead,Medical,Such,48.53,International,LOT-34068905,Who,Executive,Back,Study,Require,Deep,LOT-89567405,36.04,Believe,Moment,2026-06-25,30,47.96,Prove,Exactly,LOT-19373416,23.19,590360604,37.99,Its,Then,Term,V6005251,At,Pressure,Ahead,25,Develop,2026-07-07,Road,Officer,Better,1,2026-05-23,2024-06-03,Available,4284.99,43.78,Bit,Yes,4421.19,Enter,US01,They,2026-02-17,2024-05-26,Site,937669591,Put,First,27,Result,127,Wear,Finish,Hour,5,They,22,Save,Of,7,309,Manager,Report,Nature,Active,Project,Wait,Wide,Great,39.03,4.97,wJ-9735,188,EA,Without,AP03,Entire,uj-0237,Before,8.59,Game,None,Christmas Island,2024-09-04,Test,Pending,2025-05-22,When,535A2ABA-732,Scientist,Back,23,2025-02-08,2024-07-14,2025-02-04,MAT-47986,LOT-79555656,US01,Region,30,24,None,22.11
CT-3228-ZKT,MAT-18409,Commercial Tablet,Investigational Product,MRP-137,G1 Clinical,PD,Yes,MG228,PG85,External,PC6885,15,Commercial,Expect,51.22.11,Few,Completed,Closed,Shake,Everything,Question,38.78,Single,LOT-64232123,Federal,Her,Realize,Study,Eye,Need,LOT-36343625,12.47,Operation,Whether,2024-06-14,12,2.91,Final,Give,LOT-85774109,5.83,272160636,9.83,Probably,Water,Put,V2970521,Rather,Lot,Impact,16,Investment,2025-11-20,Business,Officer,Boy,15,2026-05-14,2025-07-21,Include,4555.27,52.48,Floor,Yes,3552.66,Safe,AP03,Through,2024-06-21,2025-03-18,Country,276786904,Near,Base,26,Chance,460,Body,Dream,Black,25,Cut,7,Into,Success,13,355,Sport,Program,Manage,Pending,Network,Nearly,Manager,Image,5.23,25.21,gl-4304,51,EA,Since,AP03,Task,nz-0253,Figure,49.04,Guess,Reality,Russian Federation,2025-07-19,Clearly,Closed,2025-09-26,Body,7EA3E715-4EB,Maybe,Television,5,2026-09-26,2025-09-11,2024-03-06,MAT-49508,LOT-34068905,LAT04,Join,9,16,Environmental,23.19
CT-3228-ZKT,MAT-58266,Tree Injection,Ancillary Supply,MRP-114,G1 Clinical,VV,Yes,MG659,PG47,Consignment,PC9880,12,Court,Friend,42.30.44,Nothing,Active,Pending,Son,Late,Would,2.71,Big,LOT-69561395,Central,Able,Director,Study,Tough,Brother,LOT-50305764,44.07,According,Number,2026-05-23,26,46.27,Party,Enter,LOT-51540998,2.96,955628248,45.72,Nice,Officer,Raise,V8317539,Eight,Artist,Save,11,Rise,2026-08-28,Response,Finish,This,30,2026-02-22,2025-11-22,Say,4690.67,15.81,Candidate,Yes,964.49,Attention,EU02,This,2026-03-18,2025-01-06,Site,214978391,Structure,Professor,30,Response,113,Factor,Course,Rise,102,Around,9,Respond,Benefit,1,255,Computer,That,Low,Pending,Enough,Play,Fact,Though,36.94,45.47,Pp-5252,189,EA,Key,US01,Drug,Md-4310,Religious,8.06,Up,Answer,Bahamas,2024-06-03,Organization,Pending,2025-07-09,Magazine,A124C449-F40,Explain,Position,30,2024-03-02,2025-11-26,2025-06-24,MAT-30703,LOT-16979238,EU02,Guy,7,10,Back,25.93
CT-6910-RDE,MAT-23465,Toward Injection,Comparator,MRP-111,G3 Pilot,VB,Yes,MG267,PG42,In-House,PC2351,4,Read,Call,19.18.80,Pattern,Active,Completed,Night,Speech,Fight,26.43,Environmental,LOT-28252003,Do,Economic,Matter,Country,Establish,Trade,LOT-11996537,21.21,Smile,Heart,2025-12-27,25,7.28,Project,Drug,LOT-60549611,10.99,269893493,11.18,Mission,Audience,Late,V9659620,Only,Event,Author,9,Expert,2024-08-02,Capital,Newspaper,Enter,1,2024-04-05,2025-03-23,Skill,3225.21,69.28,Field,No,3534.71,Year,EU02,Million,2024-10-30,2024-12-02,Site,911484271,Sure,Show,6,Customer,303,Strong,Letter,Scene,284,Attorney,18,Weight,Order,10,258,Seven,Significant,Here,Pending,Capital,Very,Different,When,43.48,33.1,Bk-2774,158,EA,With,US01,Name,Rd-2553,National,34.86,Cell,Treatment,Spain,2023-01-08,Tree,Active,2025-09-17,Strong,3B0FDA9F-884,Growth,President,13,2024-03-25,2024-02-02,2025-01-01,MAT-47254,LOT-89567405,US01,Job,19,29,This,26.46
CT-6910-RDE,MAT-33689,South Capsule,Ancillary Supply,MRP-116,G1 Clinical,VV,No,MG291,PG98,In-House,PC4544,15,Boy,Alone,66.88.54,Try,Active,Closed,Total,Job,Campaign,39.36,Later,LOT-72460791,Wide,Buy,Dark,Study,Support,Because,LOT-91968301,26.63,She,Land,2025-05-18,15,34.47,Challenge,Gun,LOT-83383410,46.58,389177034,10.83,Goal,Western,No,V7719540,Start,Heavy,Really,8,Wish,2024-06-12,Soldier,Artist,Example,26,2024-11-24,2026-02-15,Affect,4702.18,35.86,Sound,No,469.68,South,US01,Form,2026-09-24,2024-12-19,Site,736460313,World,None,16,Else,461,Find,Child,Nor,197,General,20,Plant,Great,3,80,Case,Key,Political,Completed,Wait,General,Magazine,Deep,49.7,4.15,fS-1803,313,EA,Tv,EU02,Doctor,xr-5746,Who,9.99,Responsibility,Among,Bulgaria,2023-07-23,He,Completed,2025-07-01,Purpose,420B1E11-8DA,Price,Edge,17,2026-01-03,2025-03-20,2024-12-23,MAT-22610,LOT-89806740,LAT04,Interesting,5,26,Of,6.62
CT-6910-RDE,MAT-22108,Win Injection,Comparator,MRP-102,G3 Pilot,VV,Yes,MG447,PG37,In-House,PC3834,10,Significant,Science,34.44.59,Tough,Active,Pending,Television,Soon,Still,20.89,Old,LOT-11280930,Represent,Middle,Which,Country,Fire,Follow,LOT-70273170,24.77,Push,Large,2024-07-10,22,35.26,Already,Tough,LOT-77757177,11.71,268476113,34.59,Player,Memory,Remain,V3704178,Fight,Performance,Production,29,Evening,2026-07-05,Save,Range,Ok,20,2026-10-23,2024-06-16,Win,4229.56,43.62,Body,No,3412.06,Beautiful,EU02,Several,2024-03-22,2026-06-09,Study,131097634,Chair,Just,4,Still,418,Hundred,Military,Development,303,Dream,23,Hundred,Security,20,410,Who,Teacher,Their,Active,Moment,Space,Condition,Great,15.9,49.32,bn-3118,398,EA,Report,AP03,End,ae-8302,Economy,32.96,Statement,Hard,Albania,2025-02-08,Senior,Completed,2025-09-04,Serious,F52B62BD-E91,Enough,Industry,12,2024-06-25,2023-11-22,2025-06-18,MAT-23465,LOT-91403277,AP03,Break,27,22,Director,23.73
CT-6910-RDE,MAT-93657,Dog Patch,Investigational Product,MRP-109,G1 Clinical,VB,No,MG288,PG57,In-House,PC8997,14,Price,Under,99.64.52,More,Closed,Closed,Sit,Mouth,War,42.0,Arrive,LOT-91403277,Body,Official,Best,Study,Improve,Player,LOT-31152831,32.69,Language,Probably,2025-06-03,12,9.41,Other,At,LOT-97567509,11.74,186017408,4.11,Story,Term,Agent,V9988005,Music,Move,Join,7,Financial,2024-10-09,Rock,Same,Close,19,2025-12-21,2024-02-21,Successful,2681.2,16.66,Difference,Yes,3606.37,Treat,AP03,Interview,2026-06-02,2026-04-08,Study,670531682,To,Party,20,Style,114,Develop,Stock,Never,397,Coach,20,Weight,Safe,6,339,Window,Series,Forward,Completed,Pressure,Term,Heart,Little,35.11,32.92,Pp-5895,80,EA,Live,LAT04,Green,Ho-7193,Statement,44.99,Recognize,Suggest,Cote d'Ivoire,2025-06-18,Book,Closed,2025-07-21,Including,657B8A24-549,Pretty,Player,14,2024-06-25,2025-09-12,2025-05-23,MAT-52579,LOT-31152831,LAT04,Lead,13,8,Range,13.72
CT-8742-ECD,MAT-16848,Blue Patch,Comparator,MRP-106,G1 Clinical,VV,No,MG291,PG50,Consignment,PC3081,4,Region,Foot,70.86.23,Collection,Pending,Active,Question,Already,Available,4.93,Close,LOT-20749320,Act,Month,You,Study,Though,Score,LOT-11992270,37.66,War,Change,2025-07-13,6,24.52,Throw,Food,LOT-82476241,32.37,531803495,30.55,Mrs,Medical,Book,V5560352,Natural,Face,Line,24,Soldier,2026-01-21,Responsibility,Fill,Listen,13,2025-02-25,2024-11-17,Effort,3777.7,61.55,Despite,No,90.87,Guy,US01,Late,2024-08-10,2025-03-26,Country,115993741,Low,Public,17,Important,290,Teacher,Both,Check,295,Just,30,Cup,American,15,500,Majority,Contain,Someone,Pending,That,Finally,Generation,Series,23.37,49.29,xu-7672,54,EA,Fast,US01,Culture,CV-2246,Company,47.66,Shoulder,Than,Norway,2024-07-01,Dark,Completed,2025-08-15,Lawyer,3FCA798E-FD6,Democrat,Nature,28,2026-04-09,2026-03-04,2026-10-26,MAT-49651,LOT-34308389,AP03,Reason,14,26,Black,36.93
CT-8742-ECD,MAT-47254,Article Tablet,Comparator,MRP-136,G2 Commercial,VV,Yes,MG718,PG28,External,PC5085,10,Point,Region,30.23.28,Move,Active,Completed,Among,View,And,7.31,Method,LOT-26012891,Outside,Speak,From,Study,Want,Six,LOT-37189202,41.61,Little,Them,2024-08-21,19,15.95,Guy,Hit,LOT-16824774,21.47,928013225,45.26,Hotel,Majority,Now,V5573492,Impact,Little,Development,20,Well,2026-09-13,Finally,Protect,Always,29,2024-12-17,2026-02-28,Effort,2043.96,31.77,Would,No,3981.03,Recently,AP03,Protect,2026-10-29,2025-12-03,Study,520219002,Western,Pretty,30,Establish,84,Imagine,Great,Site,23,Partner,8,Voice,Game,2,487,Recognize,Public,Debate,Pending,Place,Who,Site,Its,25.26,1.45,VR-9165,72,EA,Suggest,US01,Treat,qA-7334,Could,29.54,Actually,Five,Indonesia,2023-06-13,Choose,Closed,2025-06-28,Participant,150CE384-BD4,Husband,Religious,15,2025-12-13,2025-03-26,2026-09-04,MAT-93544,LOT-73483649,LAT04,Month,1,15,Think,44.25
CT-8742-ECD,MAT-15875,Happy Solution,Ancillary Supply,MRP-138,G3 Pilot,PD,Yes,MG138,PG35,Consignment,PC1988,14,Those,Data,26.69.99,Save,Active,Active,Field,Simple,Let,48.16,Office,LOT-28229614,Space,Mind,Not,Site,Beautiful,Professional,LOT-10817867,28.21,Member,First,2024-09-14,21,4.2,Technology,Catch,LOT-67845376,31.37,198731567,0.63,Staff,Future,Price,V8115605,Parent,Must,Reveal,5,Financial,2024-06-09,Candidate,Cell,Concern,2,2025-11-22,2024-06-27,Either,145.7,81.98,Effect,No,1149.81,Her,EU02,Teach,2024-01-20,2024-07-22,Site,514525681,Player,Avoid,7,Hotel,432,Name,Floor,Hand,274,Pull,4,Knowledge,These,28,177,Time,Improve,Month,Active,Audience,Pay,I,Choice,4.74,39.43,Kl-8164,495,EA,Stay,AP03,Senior,Ny-4250,End,49.74,Political,Can,Jersey,2024-05-11,Mother,Pending,2025-07-07,More,CCFEC4B3-889,Right,Two,12,2025-09-24,2024-04-07,2024-07-13,MAT-61362,LOT-73100049,LAT04,Challenge,24,17,Economic,18.97
CT-8742-ECD,MAT-47140,Side Capsule,Comparator,MRP-111,G1 Clinical,VB,Yes,MG583,PG73,In-House,PC3891,11,Matter,Back,16.68.48,Current,Active,Closed,Send,Sit,Win,49.94,Recent,LOT-10801382,Somebody,Structure,We,Site,Scientist,Product,LOT-22463904,5.99,Fill,Bank,2025-10-08,10,17.96,Send,Sea,LOT-73483649,33.07,579640812,23.2,Prevent,Environmental,Poor,V7745399,Successful,Reduce,Training,16,Research,2024-05-21,That,By,Water,20,2024-12-03,2024-02-17,Market,4741.3,0.4,Research,Yes,4997.52,Doctor,EU02,Word,2026-09-24,2025-01-19,Site,766299238,Able,Energy,19,Change,480,Enough,Open,Speech,95,Tonight,11,Discussion,Cover,3,375,Front,These,Nor,Pending,Onto,Occur,Response,Book,16.55,17.23,aQ-9458,114,EA,Expert,LAT04,Many,qV-2553,Field,28.03,Hospital,Yard,Estonia,2023-07-09,Three,Completed,2025-11-11,Common,40399FB4-B0C,International,Performance,22,2026-11-01,2024-04-07,2024-01-14,MAT-86168,LOT-17958339,US01,Generation,22,18,Style,10.51
CT-7047-GQC,MAT-58634,Impact Patch,Ancillary Supply,MRP-109,G2 Commercial,VV,Yes,MG160,PG77,Consignment,PC5726,13,Reflect,Money,91.65.45,Once,Pending,Pending,Year,Through,Plan,24.92,Including,LOT-97576608,Eat,Name,Idea,Study,Share,Site,LOT-23670572,8.74,Reflect,Half,2024-08-14,23,23.9,Nice,Right,LOT-44540514,25.34,742414105,38.46,Opportunity,Room,Age,V8992502,Feeling,Lose,Paper,14,No,2026-07-17,Impact,Town,Matter,11,2025-04-15,2025-01-11,Rest,766.13,91.96,Scientist,Yes,2406.93,Never,LAT04,Particular,2025-08-17,2025-02-03,Site,395627082,Capital,Eat,21,Focus,318,Always,Cell,Member,152,Hear,15,Animal,Operation,17,499,Produce,Treat,Pretty,Closed,Yard,Those,Image,Keep,43.58,12.25,up-5505,438,EA,Gas,AP03,Defense,We-3692,Attack,3.06,Job,Person,Canada,2024-04-01,President,Pending,2025-08-02,Himself,30986C0B-785,Between,Parent,24,2024-10-16,2024-05-26,2026-04-14,MAT-75647,LOT-99482219,EU02,Often,14,14,Need,0.64
CT-7047-GQC,MAT-18097,Enter Capsule,Investigational Product,MRP-114,G1 Clinical,VV,Yes,MG116,PG19,In-House,PC7915,2,Current,Smile,55.94.90,None,Closed,Completed,Student,Everybody,Challenge,11.65,Leg,LOT-73297905,Site,Get,Machine,Site,Protect,Third,LOT-26376337,22.93,Meet,Worry,2024-01-05,7,1.46,Art,Simply,LOT-14364098,27.9,280366463,20.66,Clearly,Enough,Available,V5134141,Page,Election,Increase,22,Occur,2023-11-14,Pressure,Purpose,From,30,2025-12-12,2025-04-22,Center,3325.49,2.06,Around,No,2403.9,Meet,AP03,Effect,2026-03-24,2026-01-24,Site,828402752,Light,Who,9,Speak,453,Would,Would,Alone,77,Perhaps,9,Role,Partner,7,480,Result,Data,Hair,Active,Part,Wide,Marriage,Central,32.67,25.68,Nm-0255,208,EA,Break,US01,Should,ls-2133,Return,32.38,Really,Sort,Wallis and Futuna,2024-11-22,Cold,Active,2025-09-18,Find,CDED8377-18B,Food,Adult,21,2025-10-30,2026-10-07,2024-11-06,MAT-84265,LOT-27880910,US01,Direction,24,15,Yard,26.28
CT-7047-GQC,MAT-92337,Beyond Solution,Investigational Product,MRP-115,G3 Pilot,PD,Yes,MG117,PG80,In-House,PC7734,3,Large,Subject,19.56.84,Positive,Active,Active,Build,Artist,Word,30.93,Necessary,LOT-23670572,Cold,Including,Suddenly,Country,Away,East,LOT-63567190,19.65,Service,Hold,2026-05-05,1,30.82,Song,Protect,LOT-35809899,31.07,394208954,1.46,Stage,Knowledge,Degree,V6729671,Woman,Policy,Prove,27,Area,2024-06-13,Maintain,Want,Must,19,2023-12-20,2025-07-06,Exactly,3057.99,58.41,Quite,Yes,4255.76,Under,US01,Degree,2025-10-11,2026-05-20,Site,424734164,Spring,Six,6,Cost,374,Identify,Agreement,Truth,276,Nation,10,Firm,Eat,30,427,Per,On,Billion,Closed,Military,Turn,Discussion,Onto,17.99,40.53,mX-4727,243,EA,Defense,LAT04,Raise,ph-8399,Four,8.68,Ever,Congress,Norway,2024-01-25,Sister,Closed,2025-09-12,Voice,9313CC9E-3F2,Sell,Rule,25,2025-11-05,2026-02-19,2024-02-16,MAT-84153,LOT-32873081,AP03,Girl,8,25,Nor,26.87
CT-1816-RCG,MAT-37872,Effort Capsule,Comparator,MRP-110,G2 Commercial,VV,Yes,MG970,PG47,In-House,PC7262,6,Myself,Team,28.31.73,Receive,Pending,Closed,Than,Will,Question,48.17,Lead,LOT-10801382,Himself,Thus,Last,Site,Environmental,Sister,LOT-90900846,33.08,Lawyer,Size,2026-05-19,29,47.8,Cause,Heavy,LOT-30151730,16.66,454788528,4.11,Dark,Available,Perhaps,V5817414,Thing,Whether,Newspaper,17,Cover,2024-05-09,Half,Company,Himself,29,2024-03-11,2024-02-05,Improve,212.14,14.01,While,Yes,4158.93,Game,EU02,Everything,2025-08-03,2026-01-23,Study,566415242,West,Will,8,About,406,Surface,Bar,Vote,265,Thousand,21,Door,Southern,10,133,Ready,Yourself,Agreement,Pending,Lead,Environmental,Space,Beautiful,28.88,12.96,cP-9051,299,EA,May,US01,Full,uH-4533,Per,7.55,Something,Recently,Saint Vincent and the Grenadines,2023-10-18,Impact,Active,2025-09-01,Parent,44597FDE-ED2,Lay,Attorney,24,2026-01-27,2026-06-27,2024-10-31,MAT-91309,LOT-21570201,EU02,In,20,4,Significant,42.91
CT-1816-RCG,MAT-55297,New Solution,Comparator,MRP-134,G2 Commercial,VV,Yes,MG380,PG48,External,PC2444,11,Reflect,Wrong,45.38.30,Send,Pending,Closed,Scene,True,Property,49.24,Color,LOT-74101873,Language,Within,Age,Country,By,Yourself,LOT-51166600,17.41,Have,Before,2025-12-04,19,22.23,Matter,Population,LOT-70758392,18.63,530738919,35.17,First,Break,Man,V2002790,Hear,Road,Yes,18,Sing,2024-12-12,Wait,Name,Lawyer,15,2026-02-12,2026-03-30,Travel,1590.24,91.82,Hair,No,1571.6,Southern,US01,Third,2024-07-02,2025-08-26,Study,656506760,We,Anything,26,Manage,205,Resource,Figure,Community,151,Data,18,Record,While,24,393,He,South,They,Pending,Practice,Firm,Him,Economy,32.7,21.19,Qw-6548,96,EA,Evidence,LAT04,Enter,AK-2439,Fund,8.01,Data,Study,Belgium,2025-03-31,It,Active,2025-07-10,Movement,974CD620-D0E,Deal,Gun,4,2024-06-29,2024-06-30,2024-11-17,MAT-53554,LOT-24674076,AP03,Walk,16,4,Medical,41.46
CT-6109-EDZ,MAT-14039,Should Tablet,Investigational Product,MRP-115,G1 Clinical,VB,Yes,MG597,PG95,In-House,PC5464,4,Commercial,Future,41.56.15,Treatment,Pending,Closed,Degree,With,Country,25.42,Film,LOT-39007987,Project,Region,Work,Study,East,Always,LOT-64232123,26.37,It,Over,2023-11-22,16,4.82,Heavy,Perform,LOT-11280930,13.94,717850417,46.72,Full,Before,Fight,V7375175,Simply,Collection,Minute,13,Medical,2024-12-21,Show,Sea,Who,5,2024-10-31,2026-03-01,Office,92.12,61.77,Fine,No,4265.01,Hotel,AP03,Whether,2026-05-09,2025-08-14,Site,932394103,Study,Lose,29,Again,261,Early,Improve,Live,313,Similar,16,True,North,5,377,Too,Away,Determine,Active,Boy,Wrong,Church,Walk,31.94,3.41,ch-2073,36,EA,North,AP03,Else,Wq-5147,Growth,42.38,Establish,Top,Wallis and Futuna,2023-05-16,Whether,Active,2025-09-05,Career,30986C0B-785,Radio,Technology,13,2026-05-16,2024-07-12,2025-03-14,MAT-47986,LOT-26376337,EU02,Around,9,1,Ready,43.3
CT-6109-EDZ,MAT-86168,Run Solution,Investigational Product,MRP-119,G3 Pilot,VB,No,MG551,PG22,In-House,PC8911,2,Prepare,Lay,75.55.56,Run,Pending,Active,Me,Customer,Little,49.17,Cup,LOT-62442527,Mrs,Market,His,Site,Claim,Every,LOT-88132342,10.52,Special,Movie,2024-07-03,13,18.41,Water,Dark,LOT-97567509,17.86,162819991,35.47,Friend,Development,Party,V2192776,Woman,Management,Suffer,24,Rock,2026-05-15,Specific,Another,Offer,10,2024-10-11,2024-08-12,Become,4376.3,75.62,Use,No,1307.13,Something,AP03,My,2023-11-29,2024-07-20,Site,424934862,These,Attention,23,Say,78,Weight,Nearly,Dinner,108,Media,28,Become,Conference,22,104,Race,East,Building,Pending,Fish,Two,Anyone,Point,32.41,47.69,QZ-4696,237,EA,Federal,EU02,Control,bu-9187,Major,40.33,Include,Because,San Marino,2023-06-20,Alone,Closed,2025-08-19,Political,91976714-574,Popular,Turn,28,2024-05-10,2025-02-15,2025-12-11,MAT-54383,LOT-99482219,EU02,Management,21,6,Health,29.48
CT-9831-IEW,MAT-16627,Receive Patch,Investigational Product,MRP-125,G2 Commercial,VB,No,MG672,PG18,In-House,PC1827,8,Issue,Possible,43.72.98,Night,Active,Completed,Way,Success,Forward,10.39,Good,LOT-34068905,Beyond,Ability,Race,Site,Into,Wall,LOT-94284099,27.61,Meet,Buy,2024-06-20,23,49.16,Wife,Set,LOT-78676156,46.85,159142954,46.6,Point,General,Data,V6606935,Campaign,Turn,Second,22,Analysis,2024-09-06,Check,See,Region,13,2026-09-05,2024-11-28,Some,316.72,87.94,List,No,2814.17,Carry,EU02,Structure,2024-02-29,2023-11-19,Study,535610093,Exactly,Late,22,Other,17,Financial,History,Scientist,425,Policy,22,Step,Set,12,281,Bank,Another,Spring,Closed,Full,Body,Concern,Along,25.06,10.21,hr-8737,219,EA,Much,US01,Hot,jp-0212,Too,45.56,Knowledge,Baby,South Georgia and the South Sandwich Islands,2023-05-30,Across,Active,2025-10-06,Benefit,6EDC0958-393,Claim,May,20,2023-12-19,2024-10-10,2025-10-16,MAT-31615,LOT-16979238,EU02,Mrs,12,29,Claim,1.23
CT-9831-IEW,MAT-33775,Something Patch,Ancillary Supply,MRP-113,G1 Clinical,VV,Yes,MG446,PG95,In-House,PC7808,14,According,At,47.34.56,Leave,Active,Active,Nor,People,Investment,17.81,Argue,LOT-10539218,Audience,Agreement,The,Study,History,Thousand,LOT-92879466,17.16,Us,Me,2025-02-24,16,49.68,Approach,Believe,LOT-10801382,35.65,310579839,10.73,Benefit,Woman,Medical,V8675623,Dog,Light,Evening,24,Mean,2026-06-22,Door,Pressure,Interview,12,2026-06-17,2024-09-10,Already,2370.83,73.95,Allow,Yes,2612.42,Skin,LAT04,Argue,2025-04-01,2026-04-02,Study,400164827,System,Foot,21,Build,237,Hard,Provide,Kind,488,Me,19,Car,Scene,23,386,Small,Subject,Growth,Pending,Growth,Executive,Receive,Newspaper,47.6,27.45,yr-9923,237,EA,Laugh,EU02,Couple,RU-3632,By,44.41,Issue,Body,Sri Lanka,2025-06-24,Even,Pending,2025-10-18,Performance,4FFC728A-450,Type,Improve,29,2026-08-25,2025-07-25,2023-12-02,MAT-73628,LOT-14354504,US01,Watch,26,21,Through,4.68
CT-9831-IEW,MAT-16078,Stock Patch,Comparator,MRP-139,G1 Clinical,PD,No,MG787,PG45,Consignment,PC9258,3,Item,Call,79.34.31,Minute,Completed,Pending,Rich,Rich,Significant,30.76,Down,LOT-54364032,Serious,Risk,World,Site,Step,Religious,LOT-88132342,36.04,Already,Nice,2025-10-03,23,20.35,Create,Step,LOT-10539218,37.15,341725965,12.48,Produce,Hair,Yes,V8722949,White,Operation,Enter,26,Floor,2024-07-09,Green,Base,Plant,18,2025-07-25,2024-09-22,Family,1124.41,46.79,Organization,No,1055.39,Maintain,AP03,Sign,2026-05-11,2024-01-19,Study,783265652,Carry,Catch,4,Skin,495,Commercial,Require,Method,454,Surface,22,Son,Relate,8,231,We,Call,Today,Active,Technology,Low,Unit,Improve,33.65,43.21,xB-3718,104,EA,Real,AP03,Fly,rS-2427,House,17.83,By,Test,Mauritius,2025-04-27,Since,Closed,2025-09-05,Take,CA6F43AD-A7B,Down,Sell,23,2023-12-02,2024-11-30,2024-10-06,MAT-23246,LOT-72460791,EU02,Check,24,10,Stock,30.18
